Severity,temperature,humidity,visibility,wind_speed,weather,Junction,traffic_signal
2,36.0,100.0,10.0,3.5,27,0,1
3,35.1,96.0,9.0,4.6,25,0,0
2,36.0,89.0,6.0,3.5,25,0,1
3,37.9,97.0,7.0,3.5,17,0,0
2,34.0,100.0,7.0,3.5,27,0,0
3,34.0,100.0,7.0,3.5,27,0,0
2,33.3,99.0,5.0,1.2,25,0,0
3,37.4,100.0,3.0,4.6,17,0,0
3,35.6,93.0,5.0,5.8,31,1,0
3,37.4,100.0,3.0,4.6,17,0,0
2,33.8,100.0,3.0,2.3,27,0,0
2,36.0,89.0,10.0,5.8,25,0,1
2,37.4,100.0,3.0,4.6,17,0,1
2,33.8,100.0,3.0,2.3,27,0,0
2,35.6,99.0,7.0,2.3,25,0,0
2,36.0,89.0,10.0,5.8,25,0,0
2,37.4,93.0,10.0,6.9,27,0,1
2,36.0,89.0,10.0,6.9,25,0,0
2,33.8,100.0,2.0,4.6,22,0,0
2,36.0,89.0,10.0,6.9,25,0,0
2,35.1,89.0,6.0,8.1,27,0,1
3,37.0,96.0,8.0,5.8,27,0,0
2,37.9,76.0,10.0,10.4,27,0,1
2,37.9,100.0,5.0,4.6,22,0,0
2,36.0,86.0,7.0,9.2,22,0,1
2,39.9,70.0,10.0,11.5,25,0,1
2,39.9,65.0,10.0,8.1,25,0,0
2,39.2,75.0,10.0,4.6,25,0,0
2,37.0,89.0,10.0,6.9,27,0,1
2,34.2,97.0,10.0,3.5,17,0,0
3,33.8,100.0,6.0,5.8,27,0,0
2,33.1,92.0,7.0,8.1,22,0,0
2,33.1,92.0,9.0,9.2,27,0,1
2,23.0,93.0,5.0,11.5,22,0,0
2,23.0,93.0,2.5,11.5,22,1,1
2,22.8,89.0,4.0,11.5,22,0,0
3,26.6,86.0,1.5,8.1,22,0,0
2,21.0,85.0,0.8,9.2,22,0,0
2,23.0,86.0,3.0,10.4,22,0,1
2,19.9,89.0,1.8,13.8,22,0,0
3,25.0,88.0,1.0,9.2,22,1,0
3,23.0,88.0,2.0,15.0,22,0,1
3,25.0,88.0,1.0,9.2,22,0,0
2,26.1,84.0,2.0,12.7,22,0,1
3,24.8,86.0,1.0,8.1,22,0,0
2,23.0,86.0,4.0,11.5,22,0,1
3,23.0,86.0,4.0,11.5,22,0,0
2,21.9,92.0,2.0,12.7,22,0,0
2,21.9,92.0,2.0,12.7,22,0,0
3,21.9,92.0,2.0,12.7,22,0,0
3,21.2,93.0,1.5,13.8,22,0,0
3,21.0,85.0,1.2,9.2,22,0,0
2,21.0,93.0,2.5,9.2,22,0,0
2,21.9,92.0,2.0,12.7,22,0,1
2,22.5,90.0,1.2,9.2,22,0,0
2,22.5,90.0,1.2,9.2,22,0,0
2,22.5,90.0,1.2,9.2,22,0,0
3,24.8,86.0,1.8,8.1,22,0,0
2,21.2,93.0,2.0,12.7,22,0,0
2,21.0,81.0,1.2,9.2,22,0,0
2,21.0,81.0,1.2,9.2,22,0,0
2,21.9,85.0,0.8,11.5,22,0,0
3,21.0,81.0,1.2,9.2,22,0,0
3,21.0,81.0,1.2,9.2,22,0,0
3,32.0,82.0,10.0,12.7,27,0,0
3,32.0,82.0,10.0,12.7,27,0,0
3,21.2,93.0,5.0,11.5,27,0,0
2,27.0,81.0,2.5,19.6,22,0,1
2,16.2,81.0,5.0,9.2,22,0,0
3,15.8,73.0,4.0,11.5,22,0,0
2,15.8,73.0,4.0,11.5,22,0,1
2,15.4,82.0,7.0,13.8,22,0,0
3,14.0,93.0,7.0,15.0,22,0,0
3,15.1,77.0,1.0,8.1,22,0,0
2,15.8,88.0,1.8,6.9,22,0,0
2,16.0,81.0,1.5,13.8,22,0,0
